Región,Tipo de contaminate,count
Maule,Níquel,18
Maule,Pentaclorofenol,17
Maule,Plomo,17
Maule,SAAM,2
Maule,Sulfato,20
Maule,Sulfuro,21
Maule,Sólidos Suspendidos Totales,52
Maule,Tetracloroeteno,16
Maule,Tolueno,16
Maule,Triclorometano,16
Maule,Xileno,16
Maule,Zinc,23
Metropolitana de Santiago,Aceites y Grasas,48
Metropolitana de Santiago,Aluminio,30
Metropolitana de Santiago,Arsénico,22
Metropolitana de Santiago,Benceno,4
Metropolitana de Santiago,Boro,24
Metropolitana de Santiago,Cadmio,24
Metropolitana de Santiago,Cianuro,23
Metropolitana de Santiago,Cloruros,28
Metropolitana de Santiago,Cobre,25
Metropolitana de Santiago,Cromo Hexavalente,23
Metropolitana de Santiago,Cromo Total,1
Metropolitana de Santiago,Fluoruro,22
Metropolitana de Santiago,Fósforo,48
Metropolitana de Santiago,Hidrocarburos Fijos,27
Metropolitana de Santiago,Hidrocarburos Totales,2
Metropolitana de Santiago,Hidrocarburos Volatiles,2
Metropolitana de Santiago,Hierro,1
Metropolitana de Santiago,Hierro Disuelto,30
Metropolitana de Santiago,Indice Fenol,17
Metropolitana de Santiago,Manganeso,31
Metropolitana de Santiago,Mercurio,21
Metropolitana de Santiago,Molibdeno,21
Metropolitana de Santiago,N-Nitrato + N-Nitrito,7
Metropolitana de Santiago,Nitrógeno Total  Kjeldahl,49
Metropolitana de Santiago,Níquel,24
Metropolitana de Santiago,Pentaclorofenol,20
Metropolitana de Santiago,Plomo,25
Metropolitana de Santiago,SAAM,1
Metropolitana de Santiago,Sulfato,41
Metropolitana de Santiago,Sulfuro,21
Metropolitana de Santiago,Sólidos Suspendidos Totales,62
Metropolitana de Santiago,Tetracloroeteno,20
Metropolitana de Santiago,Tolueno,20
Metropolitana de Santiago,Triclorometano,22
Metropolitana de Santiago,Xileno,20
Metropolitana de Santiago,Zinc,32
Tarapacá,Aceites y Grasas,4
Tarapacá,Aluminio,4
Tarapacá,Arsénico,2
Tarapacá,Boro,3
Tarapacá,Cadmio,4
Tarapacá,Cianuro,1
Tarapacá,Cloruros,4
Tarapacá,Cobre,3
Tarapacá,Cromo Hexavalente,1
Tarapacá,Cromo Total,2
Tarapacá,Estaño,4
Tarapacá,Fluoruro,3
Tarapacá,Fósforo,4
Tarapacá,Hidrocarburos Fijos,2
Tarapacá,Hidrocarburos Totales,2
Tarapacá,Hidrocarburos Volatiles,2
Tarapacá,Hierro Disuelto,5
Tarapacá,Indice Fenol,4
Tarapacá,Manganeso,3
Tarapacá,Mercurio,2
Tarapacá,Molibdeno,5
Tarapacá,Nitrógeno Total  Kjeldahl,5
Tarapacá,Níquel,3
Tarapacá,Plomo,2
Tarapacá,SAAM,3
Tarapacá,Sulfato,3
Tarapacá,Sulfuro,4
Tarapacá,Sólidos Suspendidos Totales,5
Tarapacá,Tolueno,1
Tarapacá,Zinc,5
Valparaíso,Aceites y Grasas,45
Valparaíso,Aluminio,37
Valparaíso,Arsénico,38
Valparaíso,Boro,20
Valparaíso,Cadmio,36
Valparaíso,Cianuro,31
Valparaíso,Cloruros,23
Valparaíso,Cobre,39
Valparaíso,Cromo Hexavalente,29
Valparaíso,Cromo Total,20
Valparaíso,Estaño,17
Valparaíso,Fluoruro,38
Valparaíso,Fósforo,28
Valparaíso,Hidrocarburos Fijos,21
Valparaíso,Hidrocarburos Totales,18
Valparaíso,Hidrocarburos Volatiles,17
Valparaíso,Hierro,1
Valparaíso,Hierro Disuelto,28
Valparaíso,Indice Fenol,33
Valparaíso,Manganeso,37
Valparaíso,Mercurio,33
Valparaíso,Molibdeno,36
Valparaíso,Nitrógeno Total  Kjeldahl,29
Valparaíso,Níquel,36
Valparaíso,Pentaclorofenol,14
Valparaíso,Plomo,35
Valparaíso,SAAM,22
Valparaíso,Sulfato,22
Valparaíso,Sulfuro,33
Valparaíso,Sólidos Suspendidos Totales,48
Valparaíso,Tetracloroeteno,14
Valparaíso,Tolueno,14
Valparaíso,Triclorometano,15
Valparaíso,Xileno,14
Valparaíso,Zinc,38
Ñuble,Aceites y Grasas,12
Ñuble,Aluminio,12
Ñuble,Arsénico,12
Ñuble,Boro,10
Ñuble,Cadmio,12
Ñuble,Cianuro,11
Ñuble,Cloruros,11
Ñuble,Cobre,12
Ñuble,Cromo Hexavalente,11
